config,question,in_doc,top_score,controls_triggered,abstained,verdict,answer
Baseline,성인 CPR 시 가슴 압박 깊이는 몇 cm인가?,True,0.62,,False,GROUNDED,성인 CPR 시 가슴 압박 깊이는 약 5cm입니다.
Baseline,CPR에서 가슴 압박 속도는 분당 몇 회인가?,True,0.685,,False,GROUNDED,"CPR에서 가슴 압박 속도는 분당 100~120회입니다. 압박을 할 때는 약 5cm 깊이로 강하고 빠르게 압박하며, 압박 후에는 가슴이 완전히 원래대로 올라오도록 이완해야 합니다."
Baseline,가슴 압박과 인공호흡의 반복 비율은 어떻게 되는가?,True,0.499,,False,GROUNDED,"가슴 압박과 인공호흡의 반복 비율은 30:2입니다. 즉, 가슴 압박을 30회 시행한 후에 인공호흡을 2회 실시하는 방식으로 진행합니다. 만약 인공호흡에 자신이 없다면, 가슴 압박만 계속해서 시행하는 것이 좋습니다."
Baseline,CPR을 시작하기 전 환자의 반응은 어떻게 확인하는가?,True,0.705,,False,GROUNDED,"CPR을 시작하기 전 환자의 반응을 확인하는 방법은 다음과 같습니다. 먼저, 환자의 양쪽 어깨를 가볍게 두드리면서 ""괜찮으세요?""라고 큰 소리로 물어봅니다. 이 과정을 통해 환자가 반응하는지 확인합니다. 만약 환자가 반응이 없다면, 다음 단계로 넘어가야 합니다."
Baseline,CPR에서 환자의 호흡은 몇 초 이내로 확인하는가?,True,0.718,,False,GROUNDED,CPR에서 환자의 호흡은 10초 이내로 확인해야 합니다. 가슴과 배의 움직임을 관찰하여 호흡이 없거나 비정상적이면 심정지로 판단합니다.
Baseline,가슴 압박은 신체의 어느 부위에 시행하는가?,True,0.4,,False,GROUNDED,"가슴 압박은 신체의 가슴 중앙, 즉 복장뼈 아래쪽 절반에 시행합니다. 이때 두 손을 깍지 껴서 겹쳐 올리고, 단단하고 평평한 바닥에 눕힌 환자의 가슴을 압박합니다."
Baseline,AED가 도착하면 가장 먼저 무엇을 해야 하는가?,True,0.536,,False,GROUNDED,AED가 도착하면 가장 먼저 전원을 켜야 합니다. 그 후에는 음성 안내에 따라 패드를 부착하고 지시에 따라 진행합니다. 이 과정이 끝난 후에는 119 구급대가 도착하거나 환자가 회복될 때까지 심폐소생술(CPR) 압박을 계속해야 합니다.
Baseline,하임리히법에서 주먹은 환자 몸의 어느 부위에 대는가?,True,0.474,,False,GROUNDED,"하임리히법에서 주먹은 환자의 배꼽과 명치 사이, 즉 상복부에 대게 됩니다. 주먹을 쥐고 엄지 쪽을 해당 부위에 댄 후, 다른 손으로 그 주먹을 감싸 쥐는 방식으로 진행됩니다."
Baseline,하임리히법의 복부 밀어내기는 어느 방향으로 미는가?,True,0.402,,False,GROUNDED,하임리히법의 복부 밀어내기는 감싼 주먹을 안쪽 위쪽 방향으로 강하고 빠르게 밀어 올리는 방식입니다. 이 과정을 반복하여 이물질이 나오거나 환자가 숨을 쉴 때까지 계속 진행합니다.
Baseline,임산부에게 기도폐쇄가 발생하면 어떤 방법을 사용하는가?,True,0.477,,False,GROUNDED,"임산부에게 기도폐쇄가 발생한 경우, 복부 대신 가슴 중앙을 밀어내는 '가슴 밀어내기' 방법을 사용해야 합니다. 이는 임산부의 복부에 압력을 가하는 것이 위험할 수 있기 때문에, 가슴 중앙을 밀어내는 방식으로 기도폐쇄를 해소하려고 시도하는 것입니다. 이 방법을 통해 이물질을 제거하거나 환자가 숨을 쉴 수 있도록 도와야 합니다."
Baseline,기도폐쇄 환자가 의식을 잃으면 무엇을 해야 하는가?,True,0.657,,False,GROUNDED,기도폐쇄 환자가 의식을 잃으면 즉시 바닥에 눕히고 119에 신고한 뒤 심폐소생술을 시작해야 합니다. 이러한 조치는 환자의 생명을 구하기 위한 긴급한 대응입니다.
Baseline,심각한 기도폐쇄 상황은 어떻게 판단하는가?,True,0.604,,False,GROUNDED,"심각한 기도폐쇄 상황은 환자가 목을 감싸쥐고 기침이나 말을 하지 못하며 숨을 쉬지 못하는 모습을 보일 때 판단할 수 있습니다. 이러한 증상은 기도가 완전히 막혀 있다는 신호로, 즉각적인 응급 처치가 필요합니다."
Baseline,기도폐쇄 환자가 기침을 할 수 있으면 어떻게 대응하는가?,True,0.734,,False,GROUNDED,"기도폐쇄 환자가 기침을 할 수 있는 경우, 억지로 개입하지 말고 환자가 계속 세게 기침하도록 격려하며 지켜보는 것이 중요합니다. 기침은 기도에 있는 이물질을 제거하는 자연스러운 반응이므로, 환자가 스스로 기침을 통해 호흡을 회복할 수 있도록 지원하는 것이 최선의 대응입니다."
Baseline,화상 부위는 무엇으로 식혀야 하는가?,True,0.387,,False,GROUNDED,화상 부위는 흐르는 시원한 물로 약 20분간 식혀야 합니다. 얼음이나 얼음물은 오히려 조직 손상을 유발할 수 있으므로 사용하지 않는 것이 좋습니다.
